Beast,Magische Tierwesen
Being,Zauberwesen
Halfblood,"Halbblut, halbblütig"
Halfbreed,"""Halbblut"", Halbmensch"
Mudblood,Schlammblut
Muggle,Muggel
Pureblood,"reinblütig, Reinblut"
Spirit,Geist/Gespenst
Wand Carriers,Zauberstabträger
Wizard,Zauberer
Witch,Hexe
Bloody Baron,Blutiger Baron
Bodrod the Bearded,Bodrod der Bärtige
Bran the Bloodthirsty,Bran der Blutdürstige
Buckbeak / Witherwings,Seidenschnabel / Federflügel
Crookshanks,Krummbein
Ethelred the Ever-Ready,Ingbert der Immerbereite
Fat Lady,Fette Dame
Fat Friar,Fetter Mönch
Grey Lady,Graue Dame
Merchieftainess Murcus,Seehäuptlingin Murcus
Moaning Myrtle,Maulende Myrte
Nearly Headless Nick,Fast Kopfloser Nick
"Norbert, the Norwegian Ridgeback",Norbert norwegische Stachelbuckel
Padfoot,Tatze
Prongs,Krone
Scabbers,Krätze
Urg the Unclean,Urg der Unsaubere
Wormtail,Wurmschwanz
Cyclops,Zyklop
Death Eater,Todesser
International Association of Quidditch,Internationaler Quidditchverband
"Order of the Phoenix, The","Orden des Phönix, Der"
S.P.E.W. - Society for the Promotion of Elfish Welfare,B.ELFE.R. - Bund für Elfenrechte
SSS - Society for the Support of Squibs,GUS - Gesellschaft zur Unterstützung von Squibs
Society for Distressed Witches,Vereinigung für verzweifelte Hexen
Anti-werewolf legislation,Anti-Werwolf-Gesetz
Ban on Importing Flying Carpets,Einfuhrverbot für fliegende Teppiche
Code of Wand Use,Gesetz zum Gebrauch des Zauberstabs
Decree for the Reasonable Restriction of Underage Sorcery,Erlass zur vernunftgemäßen Beschränkung der Zauberei Minderjähriger
Educational Decree,Ausbildungserlasse
Guidelines for the Treatment of Non-Wizard Part-Humans,Richtlinien für die Behandlung nichtmagischer Teilmenschen
International Ban on Duelling,Internationales Duellverbots-Abkommen
M.O.M-Classification,ZM-Klassifizierung
Non-Tradeable Substance,Nichtverkäufliche Substanzen
Registry of Proscribed Charmable Objects,Liste Verbotener Verhexbarer Gegenstände
Werewolf Code of Conduct,Benimmregeln für Werwölfe
Azkaban,Askaban
"Burrow, The",Der Fuchsbau
"Chamber of Secrets, The",Die Kammer des Schreckens
Department for the Regulation and Control of Magical Creatures,Abteilung zur Führung und Aufsicht Magischer Geschöpfe
Department of International Magical Cooperation,Abteilung für Internationale Magische Zusammenarbeit
Department of Magical Accidents and Catastrophes,Abteilung für Magische Unfälle und Katastrophen
Department of Magical Games and Sports,Abteilung für Magische Spiele und Sportarten
Department of Magical Law Enforcement,Abteilung für Magische Strafverfolgung
Department of Magical Transportation,Abteilung für Magisches Transportwesen
Department of Mysteries,Mysteriumsabteilung
Dervish & Banges,Derwisch und  Banges
Diagon Alley,Winkelgasse
Gambol & Japes,Freud und  Leid
Hog's Head,Eberkopf
Greenhouses,Gewächshäuser
High security vault,Hochsicherheitsverlies
Hogwarts - School for Witchcraft and Wizardry,Hogwarts - Schule für Hexerei und Zauberei
Honeydukes,Honigtopf
Hospital Wing,Krankenflügel
Improper Use of Magic Office,Büro gegen den Missbrauch der Magie
"International Confederation of Wizards, British Seats","Internationale Vereinigung der Zauberer, britische Sektion"
International Magical Office of Law,Internationales Büro für magisches Recht
Junk shop,Kramladen
Knockturn Alley,Nokturngasse
"Leaky Chauldron, The",Zum Tropfenden Kessel
Ministry of Magic,Zaubereiministerium
Misuse of Muggle Artefacts Office,Büro gegen den Missbrauch von Muggelartefakten
Office of House-Elf Relocation,Amt für die Neuzuteilung von Hauselfen
Office of Misinformation,Amt für Desinformation
Owlery,Eulerei
Pest Advisory Bureau,Seuchenberatungsbüro
Privet Drive,Ligusterweg
Purge & Dowse Ltd.,Reinig & Tunkunter GmbH
Railview Hotel,Hotel zum Bahnblick
Room of Requirements,Raum der Wünsche
Salems Witches Institute,Hexeninstitut von Salem
Scrivenshaft's Quill Shop,Schreiberlings Federladen
Secret Passages,Geheimgänge
Shrieking Shack,Heulende Hütte
Stoatshead Hill,Wieselkopf
St. Brutus's Secure Centre for Incurably Criminal Boys,St. Brutus Sicherheitszentrum für unheilbar kriminelle Jungen
St. Mungo's Hospital for Magical Maladies and Injuries,St.-Mungo-Hospital für Magische Krankheiten und Verletzungen
Three Broomsticks,Drei Besen
Trophy room,Pokalzimmer
vault,Verlies
Werewolf Support Services,Werwolf-Unterstützungsamt
Weasley's Wizard Wheezes,Weasleys Zauberhafte Zauberscherze
Floo Network,Flohnetzwerk
Howler,Heuler
Owl Post,Eulenpost
Broomstick,Fliegender Besen
Apparition,Apparieren
Floo Network,Flohnetzwerk
Flying Carpet,Fliegender Teppich
"Knight Bus, The",Fahrender Ritter
Port Key,Portschlüssel
Abyssinian Shrivelfig,Abessinische Schrumpelfeige
Acromantula Venom,Acromantula-Gift
Alihotsy,Alihotsi
Asphodel,Affodillwurzel
Aquavirius Maggots,Aquaviriusmaden
Armadillo bile,Gürteltiergalle
Bats' spleens,Fledermausmilz
"Belladonna, essence of",Belladonna-Essenz
Bicorn horn,Zweihorn-Horn
Blood Blisterpod,Blutblasenschote
Boomslang Skin,Baumschlangenhaut
Blood,Blut
Bouncing Bulb,Springende Knollen
Bubotuber,Bubotubler
Bulbadox Powder,Pustelpuder
Caterpillars,Raupen
Chinese Chomping Cabbage,Chinesischer Kaukohl
Chocolate,Schokolade
Crocodile Heart,Krokodilherz
Daisy roots,Gänseblümchen-Wurzel
Devil's Snare,Teufelsschlinge
Dirigible Plums,Lenkpflaumen
Dittany,Diptam
Dragon claw Powder,Drachenklauenpulver
Eels' Eyes,Aalaugen
Fanged Geranium,Fangzähnige Geranie
Flutterby Bush,Zitternder Ginsterbusch
Fluxweed,Flussgras
Garrotting Gas,Garottengas
Gillyweed,Dianthuskraut
Ginger,Ingwerwurzel
Gurdyroot,Spulenwurzel
Hellebore,Nieswurz
Horned Slugs,Wellhornschnecken
Knarl quills,Knarlkiele
Knotgrass,Knöterich
Lacewing flies,Florfliegen
Leaping toadstools,hüpfende Giftpilze
Leech,Blutegel
Spine of Lionfish,Löwenfischgräten
Lovage,Liebstöckel
Mallowsweet,Malvenkraut
Mandrake,Alraune
Mimbulus Mimbletonia,Mimbulus Mimbeltonia
Monkshood,Eisenhut
Moonstone,Mondstein
Murtlap Essence,Murtlap-Essenz
Nettle,Nessel
Plangentines,Plangentinien
Porcupine quills,Stachelschwein-Pastillen
Puffapod,Kartoffelbauchpilz
Rat Spleen,Rattenmilz
Essence of Rue,Weinrautenessenz
Sage,Salbei
Screechsnap,Kreischbeißer
Scurvy-grass,Löffelkraut
Sneeze-wort,Nieskraut
Sopophorous bean,Schlafbohne
Twin Chores,Zwillingskerne
Unicorn hair,Einhornhaar
Valerian root,Baldrianwurzel
Venomous Tentacula,Venemosa Tentacula
Wartcap powder,Warzhautpulver
"Whomping Willow, The",Die Peitschende Weide
Wolfsbane,Wolfswurz
Wormwood,Wermut
Barnabas the Barmy,Barnabas der Bekloppte
Boris the Bewildered,Boris der Bekloppte
Ritchie Coote,Richie Coote
Gerda Court,Gerda Gouda
The Dark Lord,"Dunkle Lord, Der"
Dedalus Diggel,Dädalus Diggel
"Marjorie ""Marge"" Dursley,",Magda Dursley
Egbert the Egregious,Egbert der Ungeheuerliche
Emeric the Evil,Emmerich der Böse
Colonel Fubster,Oberst Stumper
Marvolo Gaunt,Vorlost Gaunt
"Miranda Goshawk,",Miranda Habicht
"Hermione Granger,",Hermine Granger
Gregory the Smarmy,Gregor der Kriecher
Gregorovitch,Gregorowitsch
Grubbly-Plank,Wilhelmina Raue-Pritsche
"Alberic Grunnion,",Alberich Grunnion
Half-Blood Prince,Halbblutprinz
"Mafalda Hopkirk,",Mafalda Hopfkirch
"Arsenius Jigger,",Arsenius Bunsen
Silvanus Kettleburn,Silvanus Kesselbrand
Lachlan the Lanky,Lachlan der Lulatsch
Cuthbert Mockridge,Knutbert Mockridge
Arnold Peasegood,Arnold Friedlich
Tom Marvolo Riddle,Tom Vorlost Riddle
Rita Skeeter,Rita Kimmkorn
Snuffles,Schnuffel
"Erica Stainwright,",Erica Fleckenstein
Emeric Switch,Emeric Wendel
Tilden Toots,Krautwig Kross
Quentin Trimble,Quirin Sumo
Cassandra Vablatsky,Kassandra Wablatschki
Adalbert Waffling,Adalbert Schwahfel
The Weird Sisters,Schwestern des Schicksals
Wilfred the Wistful,Wilfried der Wehmütige
Gilbert Wimple,Wilbert Gimpel
Head Hockey,Kopfhockey
Head Juggling,Kopfjonglieren
Head Polo,Kopfpolo
Headless Hunt,Jagd der Kopflosen
Triwizard Tournament,Trimagisches Turnier
Accidental Magic Reversal Department,Abteilung für die Umkehr verunglückter Zauberei
"Accidental Magic Reversal Squad, The",Magisches Unfallumkehr-Kommando
Apparation Test Centre,Appariertestzentrum
Auror Headquarters,Aurorenzentrale
Beast Division,Tierwesenbehörde
Being Division,Zauberwesenbehörde
British and Irish Quidditch League Headquarters,Zentrale der Britischen und Irischen Quidditch-Liga
Broom Regulatory Control,Besenregulations-Kontrollamt
Centaur Liaison Office,Zentauren-Verbindungsbüro
Committee for the Disposal of Dangerous Creatures,Ausschuss für die Beseitigung gefährlicher Geschöpfe
Committee on Experimental Charms,Arbeitsgruppe für Experimentelles Zaubern
Department for the Regulation and Control of Magical Creatures,Abteilung zur Führung und Aufsicht Magischer Geschöpfe
Department of International Magical Cooperation,Abteilung für Internationale Magische Zusammenarbeit
Department of Magical Accidents and Catastrophes,Abteilung für Magische Unfälle und Katastrophen
Department of Magical Games and Sports,Abteilung für Magische Spiele und Sportarten
Department of Magical Law Enforcement,Abteilung für Magische Strafverfolgung
Department of Magical Transportation,Abteilung für Magisches Transportwesen
Department of Mysteries,Mysteriumsabteilung
Dragon Research and Restraint Bureau,Amt für Drachenforschung und Drachenzähmung
Floo Network Control,Flohnetzwerkaufsicht
Floo Regulation Panel,Flohregulierungsrat
Goblin Liaison Office,Koboldverbindungsbüro
Improper Use of Magic Office,Büro gegen den Missbrauch der Magie
International Confederation of Wizards,Internationale Vereinigung von Zauberern
International Magical Office of Law,Internationales Büro für magisches Recht
International Magical Trading Standards Body,Internationaler Magischer Handelsstandardausschuss
Ludicrous Patents Office,Büro für Lächerliche Patente
Magical Maintenance,Zauberei-Zentralverwaltung
Misuse of Muggle Artefacts Office,Büro gegen den Missbrauch von Muggelartefakten
Muggle-born Registration Commission,Registrierungskommission für Muggelstämmige
Muggle-Worthy Excuse Committee,Komitee für muggelgerechte Entschuldigungen
Obliviator,Vergissmich
Obliviator Headquarters,Vergissmich-Zentrale
Office for the Detection and Confiscation of Counterfeit Defensive Spells and Protective Objects,Büro zur Ermittlung und Beschlagnahme gefälschter Verteidigungszauber und Schutzgegenstände
Office of House-Elf Relocation,Amt für die Neuzuteilung von Hauselfen
Office of Misinformation,Amt für Desinformation
Pest Advisory Bureau,Seuchenberatungsbüro
Portkey Office,Portschlüssel-Büro
Spirit Division,Geisterbehörde
Werewolf Capture Unit,Werwolf-Fangkommando
Werewolf Registry,Werwolf-Register
Werewolf Support Services,Werwolf-Unterstützungsamt
Wizengamot,Zaubergamot
Wizengamot Administration Services,Zaubergamot-Verwaltungsdienst
"The Adventures of Martin Miggs, the Mad Muggle","Die Abenteuer von Martin Miggs, dem mickrigen Muggel"
Achievements in Charming,Große Errungenschaften der Zauberkunst
Advanced Rune Translation,Runenübersetzung für Fortgeschrittene
Ancient Runes Made Easy,Alte Runen leicht gemacht
A History of Magic,Geschichte der Zauberei
An Anthology of Eighteenth-Century Charms,Eine Anthologie der Zauberei des achtzehnten Jahrhundert
An Appraisal of Magical Education in Europe,Handbuch der europäischen Magierausbildung
Asiatic Anti-Venoms,Asiatische Antidotes
Basic Hexes for the Busy and Vexed,Zaubern für Dummies
Beating the Bludgers – A Study of Defensive Strategies in Quidditch,Klatscher klatschen: Verteidigungsstrategien im Quidditch
"Beaters´ Bible, The",Die Treiberfibel
"Beginner's Guide to Transfiguration, A - Emeric Switch",Verwandlungen für Anfänger - Emeric Wendel
Break with a Banshee - Gilderoy Lockhart,Tanz mit einer Todesfee - Gilderoy Lockhart
Broken Balls: When Fortunes Turn Foul,Zerbrochene Träume: Wenn sich das Schicksal wendet
Charm Your Own Cheese,So zaubern Sie Ihren eigenen Käse
Common Magical Ailments and Afflictions,Magische Hauskrankheiten und Gebrechen
A Compendium of Common Curses and their Counter-Actions,"Handbuch gängiger Flüche und Gegenflüche, Ein"
Confronting the Faceless,Im Angesicht des Gesichtslosen
The Daily Prophet,Der Tagesprophet
"The Dark Arts Outsmarted, The",Die dunklen Künste überlistet
Death Omens: What to Do When You Know the Worst is Coming,"Omen des Todes – Was tun, wenn Sie wissen, dass das Schlimmste bevorsteht"
Defensive Magical Theory,Theorie magischer Verteidigung
Dragon Breeding for Pleasure and Profit,Drachenzucht für Haus und Hof
Dragon Species of Great Britain and Ireland,Drachenarten Großbritanniens und Irlands
Dreadful Denizens of the Deep,Grausige Wesen der Tiefe
"Dream Oracle, The","Traumorakel, Das"
Enchantment in Baking,Magie beim Backen
Fantastic Beasts and where to find them - Newt Scamander,Phantastische Tierwesen und wo sie zu finden sind - Newt Scamander
Flying with the Cannons,Fliegen mit den Cannons
Fowl or Foul? A Study of Hippogriff Brutality,Tollheit oder Tollwut? Die Übergriffe von Hippogreifen
"From Egg to Inferno, A Dragon Keeper's Guide",Vom Ei zum Inferno: Ein Handbuch für Drachenhalter
Gadding with Ghouls - Gilderoy Lockhart,Gammeln mit Ghulen - Gilderoy Lockhart
"Guide to Advanced Transfiguration, A - Emeric Switch",Lehrbuch der Verwandlung für Fortgeschrittene - Emeric Wendel
A Guide to Medieval Sorcery,Führer durch die mittelalterliche Hexenkunst
Handbook of Do-it-Yourself Broomcare,Handbuch der Besenpflege
The Handbook of Hippogriff Psychology,Handbuch der Hippogreif-Psychologie
He Flew Like a Madman,Er flog wie ein Verrückter
The Healer's Helpmate,Heilers Helferlein
Hogwarts: A History,Geschichte Hogwarts
Holidays with Hags - Gilderoy Lockhart,Ferien mit Vetteln  - Gilderoy Lockhart
Home Life and Social Habits of British Muggles - Wilhelm Wigworthy,Häusliches Leben und gesellschaftliche Sitten britischer Muggel - Wilhelm Wigworthy
The Invisible Book of Invisibility,Das unsichtbare Buch der Unsichtbarkeit
Jinxes for the Jinxed,Hexen für Verhexte
Kwikspell,Kwikzaubern
Madcap Magic for Wacky Warlocks,Magische Mätzchen für tumbe Zauberer
Magical Me - Gilderoy Lockhart,Zauberisches Ich - Gilderoy Lockhart
Magical Mediterranean Water-Plants and Their Properties,Magische Wasserpflanzen des Mittelmeeres und ihre Wirkungen
Magick Moste Evile,Gar böse Zauberey
Men Who Love Dragons Too Much,"Männer, die Drachen zu sehr lieben"
The Monster Book of Monsters,Das Monsterbuch der Monster
Moste potente Potions,Höchst potente Zaubertränke
My Life as a Muggle - Daisy Hookum,Mein Leben als Muggel - Daisy Hookum
Nature's Nobility: A Wizarding Genealogy,Noblesse der Natur: Eine Genealogie der Zauberei
New Theory of Numerology,Neue Theorie der Numerologie
The Noble Sport of Warlocks,Der edle Sport der Zauberer
Numerology and Grammatica,Numerologie und Grammatika
Olde and Forgotten Bewitchments and Charmes,Alte und vergessene Hexereien und Zaubereien
One Minute Feast – It's Magic!,Festessen in einer Minute - Das ist Hexerei!
Partial Vanishment,partielles Verschwinden
Powers You Never Knew You Had and What To Do With Them Now You've Wised Up,"Kräfte Ihres Inneren, von denen Sie nie wussten, und was sie damit anfangen"
Practical Defensive Magic and its Use Against the Dark Arts,Praktische Defensive Magie und ihr Einsatz gegen die dunklen Künste
Predicting the Unpredictable: Insulate Yourself against Shocks,Die Vorhersage des Unvorhersagbaren - So schützen sie sich vor Schocks
The Quibbler,Der Klitterer
Quidditch Through the Ages - Kennilworthy Whisp,Quidditch im Wandel der Zeiten - Kennilworthy Whisp
Quidditch Teams of Britain and Ireland,Quidditch-Mannschaften Großbritanniens und Irlands (Buch)
Quintessence: A Quest,Die Suche nach der Quintessenz
The Rise and Fall of the Dark Arts,Aufstieg und Niedergang der dunklen Künste
Saucy Tricks for Tricky Sorts,Scharfe Tricks für scharfe Typen
Self-Defensive Spellwork,Zaubern zur Selbstverteidigung
Sites of Historical Sorcery,Historische Stätten der Zauberei
Spellman's Syllabary,Zaubermanns Silbentabelle
Theories of Transubstantial Transfiguration,Theorien Transsubstantieller Transfiguration
Transfiguration Today,Verwandlung Heute
Travels with Trolls - Gilderoy Lockhart,Trips mit Trollen - Gilderoy Lockhart
Unfogging the Future - Cassandra Vablatsky,Die Entnebelung der Zukunft - Kassandra Wablatschki
Voyages with Vampires - Gilderoy Lockhart,Abstecher mit Vampiren - Gilderoy Lockhart
Wanderings with Werewolves - Gilderoy Lockhart,Wanderungen mit Werwölfen - Gilderoy Lockhart
Weird Wizarding Dilemmas and Their Solutions,Tausend knifflige Zauberrätsel
"Where There's a Wand, There's a Way",Großes Selbsthilfebuch für Zauberer
Witch Weekly,Die Hexenwoche
"Wonder of the Wigtown Wanderers, The",Das Wunder der Wigtown Wanderers
Year with the Yeti - Gilderoy Lockhart,Ein Jahr bei einem Yeti - Gilderoy Lockhart
Anti-Burglar Buzzer,Diebstahlschutz-Summer
Anti-Jinx Varnish,Anti-Fluch-Lackierung
Auto-Answer Quill,Selbstantwortende Schreibfeder
Basic Blaze box,Vorhölle Sparbox
Bertie Bott's Every Flavour Beans,Bertie Botts Bohnen jeder Geschmacksrichtung
"Best Blowing Gum, Drooble's",Druhbels Bester Blaskaugummi
Blood-flavoured Lollipops,Lutscher mit Blutgeschmack
Bluebottle,Bulle
Broomstick,Fliegender Besen
Broomstick Servicing Kit,Besenpflege-Set
Bruise-remover,Blutergussbeseitiger
Butterbeer,Butterbier
Chocolate Frog,Schokofrosch
Clankers,Klirrer
Cleansweep,Sauberwisch
Cockroach Clusters,Kakerlakenschwarm
"Crystal Ball, Orb",Kristallkugel
Cutting Quill,schneidende Schreibfeder
Dark Detector,Antiobskurant
"Daydream Charms, Patented","Tagtraum-Zauber, Patentierte"
Decoy Detonator,Bluffknaller
Deflagration Deluxe,Inferno de Luxe
Dr Ubbly's Oblivious Unction,Dr. Salbaders amnesische Salbe
Dungbomb,Stinkbombe
Edible Dark Marks,Essbares Dunkles Mal
Elf-made Vine,Elfenwein
Ever-Bashing Boomerang,Bissige Bumerangs
Everlasting Candles,Immer währende Kerzen
Extendable Ears,Langziehohren
Fanged Frisbee,Fangzähniges Frisbee
"Firebolt, The","Feuerblitz, Der"
Firewhisky,Feuerwhisky
Fizzing Whizzbees,Zischende Wissbies
"Fleetwood's High-Finish Handle Polish,",Fleetwoods Hochglanzpolitur
Floo Powder,Flohpulver
Flying Carpet,Fliegender Teppich
Foe-Glas,Feindglas
Gillywater,Goldlackwasser
Guaranteed Ten-Second Pimple Vanisher,Zehn-Sekunden-Pustel-Entferner
Gubraithian Fire,Gubraith-Feuer
Headless Hat,Kopfloser Hut
Hiccough Sweets,Schluckaufdrops
Ice Mice,Eismäuse
Instant Darkness Powder,Instant-Finsternispulver
Invisibility cloak,Tarnumhang 
Jelly Slugs,Gummischnecken
Licorice wand,Lakritz-Zauberstab
Lunascope,Lunaskop
"Marauder's Map, The",Karte des Rumtreibers
Mead,Met
"Mirror of Erised, The","Spiegel Nerhegeb, Der"
Mrs Skower's All-Purpose Magical Mess-Remover,Mrs Skowers magischer Allzweckreiniger
Mulled mead,Heißer Honigmet 
Oak-matured Mead,Im Eichenfass gereifter Met 
Omniocular,Omniglas
"Orb, Crystal Ball",Kristallkugel
Pensieve,Denkarium
Peppermint Creames,Pfefferminz-Pralinen
Philosopher's StoneSourcerer's Stone,Der Stein der Weisen
Portable Swamp,Tragbarer Sumpf
Port Key,Portschlüssel
Probity Probe,Seriositätssonde
Pumpkin Juice,Kürbissaft
Punching Telescope,boxendes Teleskop
"Put-Outer, Unlighter","Entleuchter, Ausmacher/Deluminator"
Quick-Quotes Quill,Flotte-Schreibe-Feder
Regurgitating Public Toilet,Wiederausspuckende Toilette
Remembrall,Erinnermich
Reusable Hangman,Wiederverwendbarer Henker
Revealer,Enthüller
Screaming Jo-Jo,Jaulendes Jo-Jo
Secrecy Sensor,Geheimnis-Detektor
Self-Inking quill,Selbstauffüller
Self-Shuffling Playing Cards,Selbstmischende Spielkarten
Silver Arrow,Silberpfeil
Sleekeazy's Hair Potion,Seidenglatts Haargel
Smart-Answer Quill,Schlaue-Antwort-Feder
Sneakoscope,Spickoskop 
Spectrespecs,Gespensterbrille
Spell-Checking quill,Rechtschreibchecker
sugar-spun quills,Aus Zucker gesponnene Federhalter
Tail-Twig Clippers,Reisig-Knipszange
"Toots, Hoots 'n Roots","Kross, Spross und Schoss"
Toothflossing Stringmints,Zahnweiß-Pfefferminzlakritze
Treacle Fudge,Sirupbonbons
U-No-Poo,Du scheißt nie mehr
"Unlighter, Put-Outer","Entleuchter/Deluminator, Ausmacher,"
Vanishing Cabinet,Verschwindekabinett
Wand,Zauberstab
Weasley's Wildfire Whizbangs,Weasleys wildfeurige Wunderknaller
Winged catapult,geflügelte Schleuder
WonderWitch,Wunder-Hexe
Abraxean Horse,Abraxaner
Antipodean Opaleye,Antipodisches Opalauge
Aquavirius Magots,Aquaviriusmaden
Bicorn,Zweihorn
Blast-Ended Skrewt,Knallrümpfiger Kröter
Blibbering Humdinger,Schlibbriger Summlinger
Boarhound,Saurüde
Chinese Fireball,Chinesischer Feuerball
Chizpurfle,Kitzpurfel
Clabbert,Klabbert
Common Welch Green,Gemeiner Walisischer Grünling
Crumple-Horned Snorkack,Schrumpfhörniger Schnarchkackler
Double-ended newt,doppelschwänziger Wassermolch
Dragon,Drache
Dugbog,Sumpfkrattler
Flobberworm,Flubberwurm
Firecrab,Feuerkrabbe
Fwooper,Fwuuper
Ghoul,Ghul
Giant,Riese
Giant Squid,Riesenkrake
Glumbumble,Glumbumbel
Granian,Granianer
Griffin,Greif
Hebridian Black,Schwarzer Hebride
Hinkypunk,Hinkepank
Hippogriff,Hippogreif
Hungarian Horntail,Ungarischer Hornschwanz
Kelpie,Wassergeist
Kneazle,Kniesel
Liondragon,Löwendrache
Mackled Malaclaw,Mackeliger Malaclaw
Manticore,Mantikor
Norwegian Ridgeback,Norwegischer Stachelbuckel
Ogre,Oger
Owl,Eule
Pixie,Wichtel
Peruanian Vipertooth,Peruanischer Viperzahn
Puffskein,Knuddelmuff
Pygmy Puff,Minimuff
Redcap,Rotkappe
rumanian Longhorn,Rumänisches Langhorn
Seaserpent,Seeschlange
Snidget,Schnatzer
Swedish Short-Snout,Schwedischer Kurzschnäuzler
Ukrainian Ironbelly,Ukrainischer Eisenbauch
Umgubular Slashkilter,Umbumbliger Schlitzfatzer
Unicorn,Einhorn
Winged Horse,Geflügeltes Pferd
Banshee,Todesfee
Bloodsucking bugbear,Blutsaugendes Gespenst
Boggart,Irrwicht
Centaur,Zentaur
Fairy,Fee
Ghost,Geist
Ghoul,Ghul
Giant,Riese
Goblin,Kobold
Grindylow,Grindeloh
